latitude,longitude,kode_daerah,nama_daerah,kuota,batas_tahun,jumlah_pendaftaran,jumlah_lunas_tunda
.245719,117.041,6403,"Kab. Kutai Kartanegara",498,2029,7614,54
1.02225,117.53,6404,"Kab. Kutai Timur",166,2030,2675,16
1.80806,117.584,6405,"Kab. Berau",139,2031,2288,17
2.59453,115.698,6406,"Kab. Malinau",49,2024,496,6
2.92062,117.022,6407,"Kab. Bulungan",80,2028,1149,14
3.87444,116.679,6408,"Kab. Nunukan",107,2032,1902,12
-1.21871,116.612,6409,"Kab. Penajam Paser Utara",118,2030,1897,12
3.4432,117.168,6410,"Kab. Tana Tidung",13,2028,181,2
-1.15958,116.887,6471,"Kota Balikpapan",496,2030,7850,68
-.430184,117.174,6472,"Kota Samarinda",536,2032,9473,56
3.33426,117.593,6473,"Kota Tarakan",139,2029,2018,25
.209815,117.348,6474,"Kota Bontang",135,2030,2167,14
1.493056,124.8414,7100,"Prov. Sulawesi Utara",694,2022,5421,65
-.9,119.8333,7200,"Prov. Sulawesi Tengah",1742,2027,22002,206
-6.14249,120.479,7301,"Kab. Kepulauan Selayar",114,2024,1129,13
-5.46549,120.19,7302,"Kab. Bulukumba",405,2035,8453,71
-5.48126,119.983,7303,"Kab. Bantaeng",183,2038,4423,29
-5.57381,119.699,7304,"Kab. Jeneponto",341,2032,6244,59
-5.41331,119.494,7305,"Kab. Takalar",261,2032,4546,38
-5.354,119.687,7306,"Kab. Gowa",599,2034,12215,93
-5.20395,120.131,7307,"Kab. Sinjai",232,2030,3607,23
-4.97008,119.717,7308,"Kab. Maros",310,2035,6425,52
-4.75434,119.641,7309,"Kab. Pangkajene Dan Kepulauan",301,2031,5221,45
-4.43319,119.698,7310,"Kab. Barru",170,2031,2895,26
-4.68324,120.097,7311,"Kab. Bone",745,2036,16281,120
-4.31902,119.9,7312,"Kab. Soppeng",249,2037,5694,48
-3.97811,120.16,7313,"Kab. Wajo",403,2040,10608,73
-3.80789,119.994,7314,"Kab. Sidenreng Rappang",251,2038,5887,44
-3.6456,119.611,7315,"Kab. Pinrang",356,2037,8029,63
-3.53501,119.891,7316,"Kab. Enrekang",186,2026,2136,32
-3.34763,120.21,7317,"Kab. Luwu",271,2025,3031,42
-2.99152,119.734,7318,"Kab. Tana Toraja",35,2027,454,6
-2.41617,120.131,7322,"Kab. Luwu Utara",228,2026,2634,36
-2.48105,120.695,7325,"Kab. Luwu Timur",155,2029,2326,23
-5.15306,119.453,7371,"Kota Makassar",1132,2034,22699,88
-4.01652,119.665,7372,"Kota Parepare",121,2033,2328,25
-2.99277,120.14,7373,"Kota Palopo",108,2026,1314,11
-3.9675,122.5947,7400,"Prov. Sulawesi Tenggara",1668,2028,22855,202
.5333334,123.0667,7500,"Prov. Gorontalo",883,2023,7801,91
-3.21487,118.87,7601,"Kab. Majene",250,2025,2722,44
-3.30966,119.195,7602,"Kab. Polewali Mandar",500,2027,6541,70
-3.10129,119.265,7603,"Kab. Mamasa",107,2025,1138,19
-2.35397,119.332,7604,"Kab. Mamuju",416,2030,6823,66
-1.34188,119.377,7605,"Kab. Mamuju Utara",154,2027,1960,28
-7.56859,131.413,8101,"Kab. Maluku Tenggara Barat",3,2027,40,0
-5.63475,133.02,8102,"Kab. Maluku Tenggara",117,2022,966,3
-3.32153,129.356,8103,"Kab. Maluku Tengah",80,2024,813,7
-3.34065,126.639,8104,"Kab. Buru",63,2027,832,10
-6.55316,134.291,8105,"Kab. Kepulauan Aru",26,2022,212,3
-3.16,128.29,8106,"Kab. Seram Bagian Barat",60,2023,530,9
-3.42318,130.347,8107,"Kab. Seram Bagian Timur",48,2024,485,9
-3.67265,128.234,8171,"Kota Ambon",307,2023,2611,3
1.51616,127.624,8201,"Kab. Halmahera Barat",80,2022,616,15
.406088,128.463,8202,"Kab. Halmahera Tengah",72,2021,472,14
-1.83272,124.834,8203,"Kab. Kepulauan Sula",113,2021,740,23
-1.54092,127.787,8204,"Kab. Halmahera Selatan",184,2021,1328,37
1.5173,127.793,8205,"Kab. Halmahera Utara",92,2023,787,16
1.02798,128.238,8206,"Kab. Halmahera Timur",70,2021,478,13
2.31688,128.449,8207,"Kab. Pulau Morotai",21,2028,294,4
.809597,127.339,8271,"Kota Ternate",291,2024,2819,56
.406088,127.662,8272,"Kota Tidore Kepulauan",130,2022,1029,22
-3.31843,132.872,9101,"Kab. Fakfak",99,2020,610,17
-3.5477,134.443,9102,"Kab. Kaimana",42,2023,376,7
-2.58788,134.557,9103,"Kab. Teluk Wondama",21,2021,153,4
-2.0977,133.322,9104,"Kab. Teluk Bintuni",28,2025,302,6
-1.80035,133.968,9105,"Kab. Manokwari",176,2023,1605,27
-1.66473,132.197,9106,"Kab. Sorong Selatan",21,2023,194,4
-.946039,131.859,9107,"Kab. Sorong",63,2026,729,13
-.229671,131.037,9108,"Kab. Raja Ampat",28,2021,184,1
-.927203,131.366,9171,"Kota Sorong",226,2024,2137,29
-2.533056,140.7169,9400,"Prov. Papua",1056,2026,13081,123
