instansi,tahun,bulan,capaian_pengadaan,capaian_kontrak,capaian_pelaksanaan,capaian_PHO
"Badan Meteorologi Klimatologi dan Geofisika (BMKG)",2012,11,,99.56,99.56,73.33
"Badan Meteorologi Klimatologi dan Geofisika (BMKG)",2012,12,,99.56,99.56,99.11
"Badan Meteorologi Klimatologi dan Geofisika (BMKG)",2013,1,14.22,,,
"Badan Meteorologi Klimatologi dan Geofisika (BMKG)",2013,2,32.44,,,
"Badan Meteorologi Klimatologi dan Geofisika (BMKG)",2013,3,60.89,20,16.44,1.33
"Badan Meteorologi Klimatologi dan Geofisika (BMKG)",2013,4,68.89,30.67,28.89,4.44
"Badan Meteorologi Klimatologi dan Geofisika (BMKG)",2013,5,100,47.56,45.78,16.89
"Badan Meteorologi Klimatologi dan Geofisika (BMKG)",2013,6,,80.44,79.56,19.11
"Badan Meteorologi Klimatologi dan Geofisika (BMKG)",2013,7,,89.33,83.11,21.78
"Badan Meteorologi Klimatologi dan Geofisika (BMKG)",2013,8,,100,89.33,33.33
"Badan Meteorologi Klimatologi dan Geofisika (BMKG)",2013,9,,100,92,63.11
"Badan Meteorologi Klimatologi dan Geofisika (BMKG)",2013,10,,100,97,75
"Badan Meteorologi Klimatologi dan Geofisika (BMKG)",2013,11,,,,
"Badan Meteorologi Klimatologi dan Geofisika (BMKG)",2013,12,,,,
"Badan Narkotika Nasional (BNN)",2012,1,,,,
"Badan Narkotika Nasional (BNN)",2012,2,3.5,,,
"Badan Narkotika Nasional (BNN)",2012,3,25.6,3.5,3.5,1.2
"Badan Narkotika Nasional (BNN)",2012,4,57,18.6,15.1,10
"Badan Narkotika Nasional (BNN)",2012,5,66.3,43,24.4,15
"Badan Narkotika Nasional (BNN)",2012,6,75,62,58,30
"Badan Narkotika Nasional (BNN)",2012,7,80,65,64.5,35
"Badan Narkotika Nasional (BNN)",2012,8,85,82,80,38
"Badan Narkotika Nasional (BNN)",2012,9,87,85,85,65
"Badan Narkotika Nasional (BNN)",2012,10,95,93,87,70
"Badan Narkotika Nasional (BNN)",2012,11,,,,
"Badan Narkotika Nasional (BNN)",2012,12,,,,
"Badan Narkotika Nasional (BNN)",2013,1,4.16,,,
"Badan Narkotika Nasional (BNN)",2013,2,10,,,
"Badan Narkotika Nasional (BNN)",2013,3,16.67,19.17,17.92,
"Badan Narkotika Nasional (BNN)",2013,4,34.17,33.33,32.5,2.08
"Badan Narkotika Nasional (BNN)",2013,5,52.92,52,50,4.17
"Badan Narkotika Nasional (BNN)",2013,6,61.67,60.42,59.17,5
"Badan Narkotika Nasional (BNN)",2013,7,79.17,77.08,75,6.25
"Badan Narkotika Nasional (BNN)",2013,8,95,89,82,30.7
"Badan Narkotika Nasional (BNN)",2013,9,,,,
"Badan Narkotika Nasional (BNN)",2013,10,,,,
"Badan Narkotika Nasional (BNN)",2013,11,,,,
"Badan Narkotika Nasional (BNN)",2013,12,,,,
"Badan Nasional Penanggulangan Bencana (BNPB)",2012,1,8.4,,,
"Badan Nasional Penanggulangan Bencana (BNPB)",2012,2,21.68,,,
"Badan Nasional Penanggulangan Bencana (BNPB)",2012,3,40.98,19.27,18.4,8.43
"Badan Nasional Penanggulangan Bencana (BNPB)",2012,4,42.16,22.89,22.08,10.84
"Badan Nasional Penanggulangan Bencana (BNPB)",2012,5,48.46,24.53,23.92,21.47
"Badan Nasional Penanggulangan Bencana (BNPB)",2012,6,48.46,47.23,31.28,26.99
"Badan Nasional Penanggulangan Bencana (BNPB)",2012,7,59.5,47.58,35.58,29.44
"Badan Nasional Penanggulangan Bencana (BNPB)",2012,8,69.32,66.87,39.87,31.9
"Badan Nasional Penanggulangan Bencana (BNPB)",2012,9,100,81.48,75.3,67.9
"Badan Nasional Penanggulangan Bencana (BNPB)",2012,10,,96.29,90.12,85.18
"Badan Nasional Penanggulangan Bencana (BNPB)",2012,11,,,,
"Badan Nasional Penanggulangan Bencana (BNPB)",2012,12,,,,
"Badan Nasional Penanggulangan Bencana (BNPB)",2013,1,,,,
"Badan Nasional Penanggulangan Bencana (BNPB)",2013,2,,,,
"Badan Nasional Penanggulangan Bencana (BNPB)",2013,3,,,,
"Badan Nasional Penanggulangan Bencana (BNPB)",2013,4,,,,
"Badan Nasional Penanggulangan Bencana (BNPB)",2013,5,,,,
"Badan Nasional Penanggulangan Bencana (BNPB)",2013,6,,,,
"Badan Nasional Penanggulangan Bencana (BNPB)",2013,7,,,,
"Badan Nasional Penanggulangan Bencana (BNPB)",2013,8,,,,
"Badan Nasional Penanggulangan Bencana (BNPB)",2013,9,,,,
"Badan Nasional Penanggulangan Bencana (BNPB)",2013,10,90,78.13,40.92,42.58
"Badan Nasional Penanggulangan Bencana (BNPB)",2013,11,,,,
"Badan Nasional Penanggulangan Bencana (BNPB)",2013,12,,,,
"Badan Nasional Penanggulangan Terorisme",2012,1,1,,,
"Badan Nasional Penanggulangan Terorisme",2012,2,5,,,
"Badan Nasional Penanggulangan Terorisme",2012,3,15,15,15,12
"Badan Nasional Penanggulangan Terorisme",2012,4,20,20,18,15
"Badan Nasional Penanggulangan Terorisme",2012,5,25,25,25,25
"Badan Nasional Penanggulangan Terorisme",2012,6,,,,
"Badan Nasional Penanggulangan Terorisme",2012,7,,,,
"Badan Nasional Penanggulangan Terorisme",2012,8,6.25,2.5,3.75,87.5
"Badan Nasional Penanggulangan Terorisme",2012,9,,,,
"Badan Nasional Penanggulangan Terorisme",2012,10,,,3.75,96.25
"Badan Nasional Penanggulangan Terorisme",2012,11,,,,
"Badan Nasional Penanggulangan Terorisme",2012,12,,,,
"Badan Nasional Penanggulangan Terorisme",2013,1,,,,
"Badan Nasional Penanggulangan Terorisme",2013,2,,,,
"Badan Nasional Penanggulangan Terorisme",2013,3,,,,
"Badan Nasional Penanggulangan Terorisme",2013,4,,,,
"Badan Nasional Penanggulangan Terorisme",2013,5,100,100,,
"Badan Nasional Penanggulangan Terorisme",2013,6,100,100,100,21.05
"Badan Nasional Penanggulangan Terorisme",2013,7,,100,100,31.58
"Badan Nasional Penanggulangan Terorisme",2013,8,,100,100,36.84
"Badan Nasional Penanggulangan Terorisme",2013,9,,100,100,47.36
"Badan Nasional Penanggulangan Terorisme",2013,10,,,,
"Badan Nasional Penanggulangan Terorisme",2013,11,,,,
"Badan Nasional Penanggulangan Terorisme",2013,12,,,,
"Badan Nasional Penempatan dan Perlindungan Tenaga Kerja Indonesia (BNP2TKI)",2012,1,27,,,
"Badan Nasional Penempatan dan Perlindungan Tenaga Kerja Indonesia (BNP2TKI)",2012,2,27,,,
"Badan Nasional Penempatan dan Perlindungan Tenaga Kerja Indonesia (BNP2TKI)",2012,3,29,27,25,
"Badan Nasional Penempatan dan Perlindungan Tenaga Kerja Indonesia (BNP2TKI)",2012,4,29,27,25,
"Badan Nasional Penempatan dan Perlindungan Tenaga Kerja Indonesia (BNP2TKI)",2012,5,35,30,27,
"Badan Nasional Penempatan dan Perlindungan Tenaga Kerja Indonesia (BNP2TKI)",2012,6,45,30,30,
"Badan Nasional Penempatan dan Perlindungan Tenaga Kerja Indonesia (BNP2TKI)",2012,7,65,55,55,
"Badan Nasional Penempatan dan Perlindungan Tenaga Kerja Indonesia (BNP2TKI)",2012,8,80,70,70,
"Badan Nasional Penempatan dan Perlindungan Tenaga Kerja Indonesia (BNP2TKI)",2012,9,90,80,80,
"Badan Nasional Penempatan dan Perlindungan Tenaga Kerja Indonesia (BNP2TKI)",2012,10,98,98,98,
"Badan Nasional Penempatan dan Perlindungan Tenaga Kerja Indonesia (BNP2TKI)",2012,11,100,100,98,
"Badan Nasional Penempatan dan Perlindungan Tenaga Kerja Indonesia (BNP2TKI)",2012,12,,,,
"Badan Nasional Penempatan dan Perlindungan Tenaga Kerja Indonesia (BNP2TKI)",2013,1,5,,,
"Badan Nasional Penempatan dan Perlindungan Tenaga Kerja Indonesia (BNP2TKI)",2013,2,18.5,,,
"Badan Nasional Penempatan dan Perlindungan Tenaga Kerja Indonesia (BNP2TKI)",2013,3,44.8,45.5,10,
"Badan Nasional Penempatan dan Perlindungan Tenaga Kerja Indonesia (BNP2TKI)",2013,4,60,60,20,
"Badan Nasional Penempatan dan Perlindungan Tenaga Kerja Indonesia (BNP2TKI)",2013,5,85.5,86.2,30,10
