instansi,tahun,bulan,capaian_pengadaan,capaian_kontrak,capaian_pelaksanaan,capaian_PHO
"Kementerian Dalam Negeri",2012,3,32.6,18.73,6.81,
"Kementerian Dalam Negeri",2012,4,51.09,27.49,27.01,
"Kementerian Dalam Negeri",2012,5,74.7,27.74,27.25,
"Kementerian Dalam Negeri",2012,6,75,38,38,
"Kementerian Dalam Negeri",2012,7,82,39,39,
"Kementerian Dalam Negeri",2012,8,86,43,43,
"Kementerian Dalam Negeri",2012,9,90,66,66,
"Kementerian Dalam Negeri",2012,10,98,97,97,
"Kementerian Dalam Negeri",2012,11,98,97,97,
"Kementerian Dalam Negeri",2012,12,98,98,98,
"Kementerian Dalam Negeri",2013,1,28.98,,,
"Kementerian Dalam Negeri",2013,2,35.71,,,
"Kementerian Dalam Negeri",2013,3,50.59,20.95,20.95,
"Kementerian Dalam Negeri",2013,4,51.62,29.68,29.68,
"Kementerian Dalam Negeri",2013,5,68.02,52.28,52.28,
"Kementerian Dalam Negeri",2013,6,70.13,64.09,64.09,
"Kementerian Dalam Negeri",2013,7,73.48,65.43,65.43,
"Kementerian Dalam Negeri",2013,8,81.1,80.58,80.58,
"Kementerian Dalam Negeri",2013,9,,,,
"Kementerian Dalam Negeri",2013,10,,,,
"Kementerian Dalam Negeri",2013,11,,,,
"Kementerian Dalam Negeri",2013,12,,,,
"Kementerian Energi dan Sumber Daya Mineral (ESDM)",2012,1,2.34,,,
"Kementerian Energi dan Sumber Daya Mineral (ESDM)",2012,2,6,,,
"Kementerian Energi dan Sumber Daya Mineral (ESDM)",2012,3,9.56,7.2,7.05,7.45
"Kementerian Energi dan Sumber Daya Mineral (ESDM)",2012,4,14.2,10.86,10.89,10.62
"Kementerian Energi dan Sumber Daya Mineral (ESDM)",2012,5,31.26,11.83,14.17,12.68
"Kementerian Energi dan Sumber Daya Mineral (ESDM)",2012,6,50.46,23.9,22.14,18.43
"Kementerian Energi dan Sumber Daya Mineral (ESDM)",2012,7,55.43,28.08,25.51,28.63
"Kementerian Energi dan Sumber Daya Mineral (ESDM)",2012,8,64.36,34.21,31.03,30
"Kementerian Energi dan Sumber Daya Mineral (ESDM)",2012,9,100,54.33,48.27,31.69
"Kementerian Energi dan Sumber Daya Mineral (ESDM)",2012,10,,63.49,56.79,40.16
"Kementerian Energi dan Sumber Daya Mineral (ESDM)",2012,11,,75,60,60
"Kementerian Energi dan Sumber Daya Mineral (ESDM)",2012,12,,78,78,78
"Kementerian Energi dan Sumber Daya Mineral (ESDM)",2013,1,10.3,,,
"Kementerian Energi dan Sumber Daya Mineral (ESDM)",2013,2,23.55,,,
"Kementerian Energi dan Sumber Daya Mineral (ESDM)",2013,3,28.35,13.06,9.28,1.75
"Kementerian Energi dan Sumber Daya Mineral (ESDM)",2013,4,42.7,20.89,23.73,4.23
"Kementerian Energi dan Sumber Daya Mineral (ESDM)",2013,5,49.63,31.53,32.02,6.12
"Kementerian Energi dan Sumber Daya Mineral (ESDM)",2013,6,55.88,35.1,36.74,8.69
"Kementerian Energi dan Sumber Daya Mineral (ESDM)",2013,7,61.62,43.73,44.34,11.58
"Kementerian Energi dan Sumber Daya Mineral (ESDM)",2013,8,,,,
"Kementerian Energi dan Sumber Daya Mineral (ESDM)",2013,9,,,,
"Kementerian Energi dan Sumber Daya Mineral (ESDM)",2013,10,,,,
"Kementerian Energi dan Sumber Daya Mineral (ESDM)",2013,11,,,,
"Kementerian Energi dan Sumber Daya Mineral (ESDM)",2013,12,,,,
"Kementerian Hukum dan Hak Azasi Manusia",2012,1,,,,
"Kementerian Hukum dan Hak Azasi Manusia",2012,2,10,,,
"Kementerian Hukum dan Hak Azasi Manusia",2012,3,12,10,10,
"Kementerian Hukum dan Hak Azasi Manusia",2012,4,16,15,15,
"Kementerian Hukum dan Hak Azasi Manusia",2012,5,20,20,20,
"Kementerian Hukum dan Hak Azasi Manusia",2012,6,,,,
"Kementerian Hukum dan Hak Azasi Manusia",2012,7,,,,
"Kementerian Hukum dan Hak Azasi Manusia",2012,8,,,,
"Kementerian Hukum dan Hak Azasi Manusia",2012,9,,,,
"Kementerian Hukum dan Hak Azasi Manusia",2012,10,,,,
"Kementerian Hukum dan Hak Azasi Manusia",2012,11,,,,
"Kementerian Hukum dan Hak Azasi Manusia",2012,12,,,,
"Kementerian Hukum dan Hak Azasi Manusia",2013,1,1,,,
"Kementerian Hukum dan Hak Azasi Manusia",2013,2,5,,,
"Kementerian Hukum dan Hak Azasi Manusia",2013,3,7,6,7,
"Kementerian Hukum dan Hak Azasi Manusia",2013,4,10,30,10,
"Kementerian Hukum dan Hak Azasi Manusia",2013,5,20,40,20,
"Kementerian Hukum dan Hak Azasi Manusia",2013,6,30,70,30,
"Kementerian Hukum dan Hak Azasi Manusia",2013,7,45,98.75,45,
"Kementerian Hukum dan Hak Azasi Manusia",2013,8,48,100,48,48
"Kementerian Hukum dan Hak Azasi Manusia",2013,9,58,,58,58
"Kementerian Hukum dan Hak Azasi Manusia",2013,10,,,,
"Kementerian Hukum dan Hak Azasi Manusia",2013,11,,,,
"Kementerian Hukum dan Hak Azasi Manusia",2013,12,,,,
"Kementerian Kehutanan",2012,1,2.5,,,
"Kementerian Kehutanan",2012,2,3.6,,,
"Kementerian Kehutanan",2012,3,10.2,7.7,3.6,38.1
"Kementerian Kehutanan",2012,4,14.15,61.1,6.8,23.1
"Kementerian Kehutanan",2012,5,94.7,77.3,4.4,1.8
"Kementerian Kehutanan",2012,6,95.6,80.2,15.2,10.5
"Kementerian Kehutanan",2012,7,96.5,83.4,17.5,8
"Kementerian Kehutanan",2012,8,97.8,85,27,15
"Kementerian Kehutanan",2012,9,98,90,50,40
"Kementerian Kehutanan",2012,10,98.5,93.15,65,50
"Kementerian Kehutanan",2012,11,99,95,95,85
"Kementerian Kehutanan",2012,12,100,100,100,100
"Kementerian Kehutanan",2013,1,5,,,
"Kementerian Kehutanan",2013,2,15,,,
"Kementerian Kehutanan",2013,3,40,15,10,5
"Kementerian Kehutanan",2013,4,,,,
"Kementerian Kehutanan",2013,5,,,,
"Kementerian Kehutanan",2013,6,,,,
"Kementerian Kehutanan",2013,7,,,,
"Kementerian Kehutanan",2013,8,50,40,35,30
"Kementerian Kehutanan",2013,9,,,,
"Kementerian Kehutanan",2013,10,,,,
"Kementerian Kehutanan",2013,11,,,,
"Kementerian Kehutanan",2013,12,,,,
"Kementerian Kelautan dan Perikanan",2012,1,10.35,,,
"Kementerian Kelautan dan Perikanan",2012,2,20.25,,,
"Kementerian Kelautan dan Perikanan",2012,3,36.6,25.68,20.34,5.29
"Kementerian Kelautan dan Perikanan",2012,4,55.72,32.9,29.78,7.87
"Kementerian Kelautan dan Perikanan",2012,5,63.35,39.64,36.15,11.93
"Kementerian Kelautan dan Perikanan",2012,6,65.15,41.88,45.36,14.89
"Kementerian Kelautan dan Perikanan",2012,7,85.35,60.23,70.67,25.78
"Kementerian Kelautan dan Perikanan",2012,8,89.71,87.62,85.25,37.89
"Kementerian Kelautan dan Perikanan",2012,9,90.21,88.78,92.52,39.43
"Kementerian Kelautan dan Perikanan",2012,10,95.25,90.26,95.16,52.52
"Kementerian Kelautan dan Perikanan",2012,11,,,,70.69
"Kementerian Kelautan dan Perikanan",2012,12,,,,
"Kementerian Kelautan dan Perikanan",2013,1,10,,,
"Kementerian Kelautan dan Perikanan",2013,2,20,,,
"Kementerian Kelautan dan Perikanan",2013,3,36,25,20,5
"Kementerian Kelautan dan Perikanan",2013,4,55,32,29,7
"Kementerian Kelautan dan Perikanan",2013,5,63,39,36,
"Kementerian Kelautan dan Perikanan",2013,6,65,41,45,14
"Kementerian Kelautan dan Perikanan",2013,7,70,42,55,15
"Kementerian Kelautan dan Perikanan",2013,8,,,,
"Kementerian Kelautan dan Perikanan",2013,9,,,,
"Kementerian Kelautan dan Perikanan",2013,10,,,,
"Kementerian Kelautan dan Perikanan",2013,11,,,,
"Kementerian Kelautan dan Perikanan",2013,12,,,,
"Kementerian Kesehatan",2012,1,23,,,
"Kementerian Kesehatan",2012,2,32.9,,,
"Kementerian Kesehatan",2012,3,44.6,31.8,31.8,.83
"Kementerian Kesehatan",2012,4,52.8,40.6,40.6,2.52
"Kementerian Kesehatan",2012,5,61,47.2,47.2,3.16
"Kementerian Kesehatan",2012,6,74.21,59.14,59.14,17.78
"Kementerian Kesehatan",2012,7,85.14,69.5,69.5,19
"Kementerian Kesehatan",2012,8,97.5,81.93,81.93,21.39
"Kementerian Kesehatan",2012,9,,,,
"Kementerian Kesehatan",2012,10,,,,
"Kementerian Kesehatan",2012,11,,,,
"Kementerian Kesehatan",2012,12,,,,
"Kementerian Kesehatan",2013,1,19.4,,,
"Kementerian Kesehatan",2013,2,31.65,,,
"Kementerian Kesehatan",2013,3,37.63,27.14,27.14,11.47
"Kementerian Kesehatan",2013,4,42.61,34.11,34.11,16.78
"Kementerian Kesehatan",2013,5,49,40.09,40.09,26.57
"Kementerian Kesehatan",2013,6,63.13,52.99,52.99,31.59
"Kementerian Kesehatan",2013,7,71.81,64.13,64.13,38.57
"Kementerian Kesehatan",2013,8,81.83,72.51,72.51,47.23
"Kementerian Kesehatan",2013,9,90.15,80.6,80.6,51.62
"Kementerian Kesehatan",2013,10,,,,
"Kementerian Kesehatan",2013,11,,,,
"Kementerian Kesehatan",2013,12,,,,
"Kementerian Keuangan",2012,1,4.42,,,
"Kementerian Keuangan",2012,2,11.64,,,
"Kementerian Keuangan",2012,3,20.24,17.45,16.12,5.7
"Kementerian Keuangan",2012,4,27.03,26.45,20.97,8.12
"Kementerian Keuangan",2012,5,36,26.61,23.33,9.94
"Kementerian Keuangan",2012,6,43.94,32.71,,
"Kementerian Keuangan",2012,7,63.51,50.23,,
"Kementerian Keuangan",2012,8,72.02,58.55,,
"Kementerian Keuangan",2012,9,79.03,67.68,,
"Kementerian Keuangan",2012,10,85.82,79.26,,
"Kementerian Keuangan",2012,11,,,,
"Kementerian Keuangan",2012,12,,,,
"Kementerian Keuangan",2013,1,,,,
"Kementerian Keuangan",2013,2,,,,
"Kementerian Keuangan",2013,3,9.2,22.2,,
"Kementerian Keuangan",2013,4,8,30.9,,
"Kementerian Keuangan",2013,5,8.6,37.3,,
"Kementerian Keuangan",2013,6,,51,,
"Kementerian Keuangan",2013,7,,,,
"Kementerian Keuangan",2013,8,,,,
"Kementerian Keuangan",2013,9,,,,
"Kementerian Keuangan",2013,10,,,,
"Kementerian Keuangan",2013,11,,,,
"Kementerian Keuangan",2013,12,,,,
"Kementerian Komunikasi dan Informatika",2012,1,,,,
"Kementerian Komunikasi dan Informatika",2012,2,,,,
"Kementerian Komunikasi dan Informatika",2012,3,,,,
"Kementerian Komunikasi dan Informatika",2012,4,,,,
"Kementerian Komunikasi dan Informatika",2012,5,,,,
"Kementerian Komunikasi dan Informatika",2012,6,,,,
"Kementerian Komunikasi dan Informatika",2012,7,,,,
"Kementerian Komunikasi dan Informatika",2012,8,,,,
"Kementerian Komunikasi dan Informatika",2012,9,,,,81.29
"Kementerian Komunikasi dan Informatika",2012,10,7.55,,,91.01
"Kementerian Komunikasi dan Informatika",2012,11,,,,96.89
"Kementerian Komunikasi dan Informatika",2012,12,,,,97.57
"Kementerian Komunikasi dan Informatika",2013,1,,,,
"Kementerian Komunikasi dan Informatika",2013,2,75.43,,,
"Kementerian Komunikasi dan Informatika",2013,3,,,,26.78
"Kementerian Komunikasi dan Informatika",2013,4,,,,37.68
"Kementerian Komunikasi dan Informatika",2013,5,,,,47.08
"Kementerian Komunikasi dan Informatika",2013,6,,,,51.99
"Kementerian Komunikasi dan Informatika",2013,7,,,,58.74
"Kementerian Komunikasi dan Informatika",2013,8,,,,66
"Kementerian Komunikasi dan Informatika",2013,9,,,,67.82
"Kementerian Komunikasi dan Informatika",2013,10,,,,
"Kementerian Komunikasi dan Informatika",2013,11,,,,
"Kementerian Komunikasi dan Informatika",2013,12,,,,
"Kementerian Koordinator bidang Kesejahteraan Rakyat",2012,1,21.8,,,
"Kementerian Koordinator bidang Kesejahteraan Rakyat",2012,2,25,,,
"Kementerian Koordinator bidang Kesejahteraan Rakyat",2012,3,25,18.75,18.75,18.75
"Kementerian Koordinator bidang Kesejahteraan Rakyat",2012,4,25,18.75,18.75,18.75
"Kementerian Koordinator bidang Kesejahteraan Rakyat",2012,5,37,31.25,28.1,28.1
"Kementerian Koordinator bidang Kesejahteraan Rakyat",2012,6,42,35,35,35
"Kementerian Koordinator bidang Kesejahteraan Rakyat",2012,7,47,40,40,40
"Kementerian Koordinator bidang Kesejahteraan Rakyat",2012,8,55,45,45,45
"Kementerian Koordinator bidang Kesejahteraan Rakyat",2012,9,,,,
"Kementerian Koordinator bidang Kesejahteraan Rakyat",2012,10,,,,
"Kementerian Koordinator bidang Kesejahteraan Rakyat",2012,11,100,100,85,85
"Kementerian Koordinator bidang Kesejahteraan Rakyat",2012,12,,100,100,100
"Kementerian Koordinator bidang Kesejahteraan Rakyat",2013,1,,,,
"Kementerian Koordinator bidang Kesejahteraan Rakyat",2013,2,,,,
"Kementerian Koordinator bidang Kesejahteraan Rakyat",2013,3,,,,
"Kementerian Koordinator bidang Kesejahteraan Rakyat",2013,4,,,,
"Kementerian Koordinator bidang Kesejahteraan Rakyat",2013,5,,,,
"Kementerian Koordinator bidang Kesejahteraan Rakyat",2013,6,,,,
"Kementerian Koordinator bidang Kesejahteraan Rakyat",2013,7,,,,
"Kementerian Koordinator bidang Kesejahteraan Rakyat",2013,8,,,,
"Kementerian Koordinator bidang Kesejahteraan Rakyat",2013,9,,,,
"Kementerian Koordinator bidang Kesejahteraan Rakyat",2013,10,,,,
"Kementerian Koordinator bidang Kesejahteraan Rakyat",2013,11,,,,
"Kementerian Koordinator bidang Kesejahteraan Rakyat",2013,12,,,,
"Kementerian Koordinator bidang Perekonomian",2012,1,20.37,,,
"Kementerian Koordinator bidang Perekonomian",2012,2,32.51,,,
"Kementerian Koordinator bidang Perekonomian",2012,3,38.9,38.9,38.9,12.14
"Kementerian Koordinator bidang Perekonomian",2012,4,46.08,46.08,46.08,21.15
"Kementerian Koordinator bidang Perekonomian",2012,5,53,53,53,30.55
"Kementerian Koordinator bidang Perekonomian",2012,6,59.27,59.27,59.27,40.34
"Kementerian Koordinator bidang Perekonomian",2012,7,65.14,65.14,65.14,49.74
"Kementerian Koordinator bidang Perekonomian",2012,8,71.8,71.8,71.8,59.27
"Kementerian Koordinator bidang Perekonomian",2012,9,90,90,90,85
"Kementerian Koordinator bidang Perekonomian",2012,10,98,98,95,90
"Kementerian Koordinator bidang Perekonomian",2012,11,100,100,95,93
"Kementerian Koordinator bidang Perekonomian",2012,12,,100,100,100
"Kementerian Koordinator bidang Perekonomian",2013,1,25.9,,,
"Kementerian Koordinator bidang Perekonomian",2013,2,40,,,
"Kementerian Koordinator bidang Perekonomian",2013,3,80,80,80,25
"Kementerian Koordinator bidang Perekonomian",2013,4,90,90,90,45
"Kementerian Koordinator bidang Perekonomian",2013,5,92,92,92,56
"Kementerian Koordinator bidang Perekonomian",2013,6,93,93,93,60
"Kementerian Koordinator bidang Perekonomian",2013,7,95,95,95,70
"Kementerian Koordinator bidang Perekonomian",2013,8,96,96,96,75
"Kementerian Koordinator bidang Perekonomian",2013,9,,,,
"Kementerian Koordinator bidang Perekonomian",2013,10,,,,
"Kementerian Koordinator bidang Perekonomian",2013,11,,,,
"Kementerian Koordinator bidang Perekonomian",2013,12,,,,
"Kementerian Koordinator bidang Politik, Hukum, dan Keamanan",2012,1,3,,,
"Kementerian Koordinator bidang Politik, Hukum, dan Keamanan",2012,2,8.33,,,
"Kementerian Koordinator bidang Politik, Hukum, dan Keamanan",2012,3,35,13.33,13.33,
"Kementerian Koordinator bidang Politik, Hukum, dan Keamanan",2012,4,38.33,30,15,
"Kementerian Koordinator bidang Politik, Hukum, dan Keamanan",2012,5,50.33,45,25,15
"Kementerian Koordinator bidang Politik, Hukum, dan Keamanan",2012,6,52.35,52.67,33.33,16.67
"Kementerian Koordinator bidang Politik, Hukum, dan Keamanan",2012,7,52.35,54.5,50,25
"Kementerian Koordinator bidang Politik, Hukum, dan Keamanan",2012,8,52.35,54.5,62.5,35
"Kementerian Koordinator bidang Politik, Hukum, dan Keamanan",2012,9,,,,
"Kementerian Koordinator bidang Politik, Hukum, dan Keamanan",2012,10,,,,
"Kementerian Koordinator bidang Politik, Hukum, dan Keamanan",2012,11,100,85,85,85
"Kementerian Koordinator bidang Politik, Hukum, dan Keamanan",2012,12,,100,100,100
"Kementerian Koordinator bidang Politik, Hukum, dan Keamanan",2013,1,,,,
"Kementerian Koordinator bidang Politik, Hukum, dan Keamanan",2013,2,,,,
"Kementerian Koordinator bidang Politik, Hukum, dan Keamanan",2013,3,,,,
"Kementerian Koordinator bidang Politik, Hukum, dan Keamanan",2013,4,,,,
"Kementerian Koordinator bidang Politik, Hukum, dan Keamanan",2013,5,,,,
"Kementerian Koordinator bidang Politik, Hukum, dan Keamanan",2013,6,,,,
"Kementerian Koordinator bidang Politik, Hukum, dan Keamanan",2013,7,,,,
"Kementerian Koordinator bidang Politik, Hukum, dan Keamanan",2013,8,,,,
"Kementerian Koordinator bidang Politik, Hukum, dan Keamanan",2013,9,80,80,65,60
"Kementerian Koordinator bidang Politik, Hukum, dan Keamanan",2013,10,90,85,75,65
"Kementerian Koordinator bidang Politik, Hukum, dan Keamanan",2013,11,,,,
"Kementerian Koordinator bidang Politik, Hukum, dan Keamanan",2013,12,,,,
"Kementerian Koperasi dan Usaha Kecil Menengah",2012,1,7.27,,,
"Kementerian Koperasi dan Usaha Kecil Menengah",2012,2,18.56,,,
"Kementerian Koperasi dan Usaha Kecil Menengah",2012,3,36.68,22.35,15.01,11.12
"Kementerian Koperasi dan Usaha Kecil Menengah",2012,4,50.93,44.05,28.27,20.37
"Kementerian Koperasi dan Usaha Kecil Menengah",2012,5,63.15,61.24,44.97,31.29
"Kementerian Koperasi dan Usaha Kecil Menengah",2012,6,80.05,67.26,58.78,44.5
"Kementerian Koperasi dan Usaha Kecil Menengah",2012,7,83.43,79.3,72.98,64.56
"Kementerian Koperasi dan Usaha Kecil Menengah",2012,8,91.04,86.9,80.33,70.51
"Kementerian Koperasi dan Usaha Kecil Menengah",2012,9,93.09,90.98,83.99,77.32
"Kementerian Koperasi dan Usaha Kecil Menengah",2012,10,95.69,94.43,90.36,86.14
"Kementerian Koperasi dan Usaha Kecil Menengah",2012,11,97.26,96.96,94.24,93.12
"Kementerian Koperasi dan Usaha Kecil Menengah",2012,12,98.47,98.47,97.52,97.52
"Kementerian Koperasi dan Usaha Kecil Menengah",2013,1,2.61,,,
"Kementerian Koperasi dan Usaha Kecil Menengah",2013,2,8.17,,,
"Kementerian Koperasi dan Usaha Kecil Menengah",2013,3,14.65,10.61,8.09,4.99
"Kementerian Koperasi dan Usaha Kecil Menengah",2013,4,21.46,25.49,12.53,10.05
"Kementerian Koperasi dan Usaha Kecil Menengah",2013,5,25.46,30.21,17.55,13.23
"Kementerian Koperasi dan Usaha Kecil Menengah",2013,6,30.16,40.06,25.71,19.55
"Kementerian Koperasi dan Usaha Kecil Menengah",2013,7,34.36,,30.38,23.6
"Kementerian Koperasi dan Usaha Kecil Menengah",2013,8,,,,
"Kementerian Koperasi dan Usaha Kecil Menengah",2013,9,,,,
"Kementerian Koperasi dan Usaha Kecil Menengah",2013,10,,,,
"Kementerian Koperasi dan Usaha Kecil Menengah",2013,11,,,,
"Kementerian Koperasi dan Usaha Kecil Menengah",2013,12,,,,
"Kementerian Lingkungan Hidup",2012,1,,,,
"Kementerian Lingkungan Hidup",2012,2,,,,
"Kementerian Lingkungan Hidup",2012,3,,,1,
"Kementerian Lingkungan Hidup",2012,4,,1,1,
"Kementerian Lingkungan Hidup",2012,5,,1,1,
"Kementerian Lingkungan Hidup",2012,6,,,,
"Kementerian Lingkungan Hidup",2012,7,,,,
"Kementerian Lingkungan Hidup",2012,8,,,,
"Kementerian Lingkungan Hidup",2012,9,17,15,9,8
"Kementerian Lingkungan Hidup",2012,10,100,100,70,65
"Kementerian Lingkungan Hidup",2012,11,,100,80,80
"Kementerian Lingkungan Hidup",2012,12,,100,97,100
"Kementerian Lingkungan Hidup",2013,1,,,,
"Kementerian Lingkungan Hidup",2013,2,,,,
"Kementerian Lingkungan Hidup",2013,3,,,,
"Kementerian Lingkungan Hidup",2013,4,,,,
"Kementerian Lingkungan Hidup",2013,5,,,,
"Kementerian Lingkungan Hidup",2013,6,,,,
"Kementerian Lingkungan Hidup",2013,7,,,,
"Kementerian Lingkungan Hidup",2013,8,,,,
"Kementerian Lingkungan Hidup",2013,9,,,,
"Kementerian Lingkungan Hidup",2013,10,,,,
"Kementerian Lingkungan Hidup",2013,11,,,,
"Kementerian Lingkungan Hidup",2013,12,,,,
"Kementerian Luar Negeri",2012,1,11,,,
"Kementerian Luar Negeri",2012,2,58,,,
"Kementerian Luar Negeri",2012,3,58,32,2,13
"Kementerian Luar Negeri",2012,4,63,47,13,63
"Kementerian Luar Negeri",2012,5,68,53,30,75
"Kementerian Luar Negeri",2012,6,,,,
"Kementerian Luar Negeri",2012,7,,,,
"Kementerian Luar Negeri",2012,8,,,,
"Kementerian Luar Negeri",2012,9,,,,
"Kementerian Luar Negeri",2012,10,,,,
"Kementerian Luar Negeri",2012,11,,,,
"Kementerian Luar Negeri",2012,12,,,,
"Kementerian Luar Negeri",2013,1,3.92,,,
"Kementerian Luar Negeri",2013,2,15.69,,,
"Kementerian Luar Negeri",2013,3,24.53,,,
"Kementerian Luar Negeri",2013,4,35.85,,,
"Kementerian Luar Negeri",2013,5,44,,,
"Kementerian Luar Negeri",2013,6,50,,,
"Kementerian Luar Negeri",2013,7,51,,,
"Kementerian Luar Negeri",2013,8,51,,,
"Kementerian Luar Negeri",2013,9,51.56,,,
"Kementerian Luar Negeri",2013,10,54.69,,,
"Kementerian Luar Negeri",2013,11,,,,
"Kementerian Luar Negeri",2013,12,,,,
"Kementerian Pariwisata dan Ekonomi Kreatif",2012,1,,,,
"Kementerian Pariwisata dan Ekonomi Kreatif",2012,2,,,,
"Kementerian Pariwisata dan Ekonomi Kreatif",2012,3,45.01,,11.86,
"Kementerian Pariwisata dan Ekonomi Kreatif",2012,4,45.52,.08,12.2,.04
"Kementerian Pariwisata dan Ekonomi Kreatif",2012,5,45.56,.17,12.28,.13
"Kementerian Pariwisata dan Ekonomi Kreatif",2012,6,45.6,.34,12.37,.21
"Kementerian Pariwisata dan Ekonomi Kreatif",2012,7,46.28,.34,14.07,.42
"Kementerian Pariwisata dan Ekonomi Kreatif",2012,8,46.28,.55,14.77,.47
"Kementerian Pariwisata dan Ekonomi Kreatif",2012,9,54.15,.91,17.08,.54
"Kementerian Pariwisata dan Ekonomi Kreatif",2012,10,57.54,1.04,17.22,.68
"Kementerian Pariwisata dan Ekonomi Kreatif",2012,11,61.94,2.54,19.21,2.36
"Kementerian Pariwisata dan Ekonomi Kreatif",2012,12,62.53,5.75,22.66,6.48
"Kementerian Pariwisata dan Ekonomi Kreatif",2013,1,11.31,,,
"Kementerian Pariwisata dan Ekonomi Kreatif",2013,2,17.74,,,
"Kementerian Pariwisata dan Ekonomi Kreatif",2013,3,23.28,23.28,23.28,11.75
"Kementerian Pariwisata dan Ekonomi Kreatif",2013,4,35.03,35.03,33.48,19.96
"Kementerian Pariwisata dan Ekonomi Kreatif",2013,5,41.02,41.02,44.57,26.39
"Kementerian Pariwisata dan Ekonomi Kreatif",2013,6,55.88,55.88,57.21,32.82
"Kementerian Pariwisata dan Ekonomi Kreatif",2013,7,74.94,74.94,60.98,37.03
"Kementerian Pariwisata dan Ekonomi Kreatif",2013,8,100,100,75.39,44.12
"Kementerian Pariwisata dan Ekonomi Kreatif",2013,9,,100,78.05,49.45
"Kementerian Pariwisata dan Ekonomi Kreatif",2013,10,,,,
"Kementerian Pariwisata dan Ekonomi Kreatif",2013,11,,,,
"Kementerian Pariwisata dan Ekonomi Kreatif",2013,12,,,,
"Kementerian Pekerjaan Umum",2012,1,57.51,,,
"Kementerian Pekerjaan Umum",2012,2,68.12,,,
"Kementerian Pekerjaan Umum",2012,3,74.95,45.62,44.55,33.55
"Kementerian Pekerjaan Umum",2012,4,79.99,62.92,62.79,46.88
"Kementerian Pekerjaan Umum",2012,5,84.98,71.63,71.43,52.12
"Kementerian Pekerjaan Umum",2012,6,87.85,75.69,75.43,54.17
"Kementerian Pekerjaan Umum",2012,7,90.07,77.57,77.24,54.97
"Kementerian Pekerjaan Umum",2012,8,93.1,85.64,85.16,56.37
"Kementerian Pekerjaan Umum",2012,9,94.4,88.09,87.51,56.94
"Kementerian Pekerjaan Umum",2012,10,95.82,91.56,90.65,57.18
"Kementerian Pekerjaan Umum",2012,11,96.19,92.64,91.16,57.35
"Kementerian Pekerjaan Umum",2012,12,,,,
"Kementerian Pekerjaan Umum",2013,1,62.04,,,
"Kementerian Pekerjaan Umum",2013,2,70.26,,,
"Kementerian Pekerjaan Umum",2013,3,75.87,54.68,48.56,4.02
"Kementerian Pekerjaan Umum",2013,4,77.7,66.92,58.34,8.1
"Kementerian Pekerjaan Umum",2013,5,80.34,70.12,60.58,8.26
"Kementerian Pekerjaan Umum",2013,6,81.27,71.84,66.46,8.33
"Kementerian Pekerjaan Umum",2013,7,83.68,72.38,68.22,13.98
"Kementerian Pekerjaan Umum",2013,8,86.03,75.25,71.5,19.34
"Kementerian Pekerjaan Umum",2013,9,87.58,81.18,76.94,30.13
"Kementerian Pekerjaan Umum",2013,10,,,,
"Kementerian Pekerjaan Umum",2013,11,,,,
"Kementerian Pekerjaan Umum",2013,12,,,,
"Kementerian Pembangunan Daerah Tertinggal",2012,1,5.34,,,
"Kementerian Pembangunan Daerah Tertinggal",2012,2,15.53,,,
"Kementerian Pembangunan Daerah Tertinggal",2012,3,16.99,15.05,15.05,2.16
"Kementerian Pembangunan Daerah Tertinggal",2012,4,22.82,15.53,15.53,5.34
"Kementerian Pembangunan Daerah Tertinggal",2012,5,28.16,16.02,16.02,6.87
"Kementerian Pembangunan Daerah Tertinggal",2012,6,50,21.36,21.36,8.63
"Kementerian Pembangunan Daerah Tertinggal",2012,7,64.56,28.64,28.64,15.01
"Kementerian Pembangunan Daerah Tertinggal",2012,8,88.35,51.46,51.46,16.86
"Kementerian Pembangunan Daerah Tertinggal",2012,9,96.12,63.59,63.59,22.64
"Kementerian Pembangunan Daerah Tertinggal",2012,10,97.57,89.81,79.81,28.92
"Kementerian Pembangunan Daerah Tertinggal",2012,11,100,100,90.54,44.67
"Kementerian Pembangunan Daerah Tertinggal",2012,12,,,,
"Kementerian Pembangunan Daerah Tertinggal",2013,1,6.81,,,
"Kementerian Pembangunan Daerah Tertinggal",2013,2,15.05,,,
"Kementerian Pembangunan Daerah Tertinggal",2013,3,32.97,7.98,5.52,.2
"Kementerian Pembangunan Daerah Tertinggal",2013,4,42.65,12.88,7.36,.57
"Kementerian Pembangunan Daerah Tertinggal",2013,5,48.75,30.06,12.54,4.67
"Kementerian Pembangunan Daerah Tertinggal",2013,6,54.83,41.23,30.02,8.54
"Kementerian Pembangunan Daerah Tertinggal",2013,7,62,47.56,41.22,9.24
"Kementerian Pembangunan Daerah Tertinggal",2013,8,,,,
"Kementerian Pembangunan Daerah Tertinggal",2013,9,,,,
"Kementerian Pembangunan Daerah Tertinggal",2013,10,,,,
"Kementerian Pembangunan Daerah Tertinggal",2013,11,,,,
"Kementerian Pembangunan Daerah Tertinggal",2013,12,,,,
"Kementerian Pemberdayaan Perempuan dan Perlindungan Anak",2012,1,33.3,,,
"Kementerian Pemberdayaan Perempuan dan Perlindungan Anak",2012,2,33.3,,,
"Kementerian Pemberdayaan Perempuan dan Perlindungan Anak",2012,3,100,100,83.3,54.9
