tipe_entitas,nama_entitas,tahun,nilai
"Kontraktor","Kideco Jaya Agung, PT",2007,5617460
"Kontraktor","Lanna Harita Indonesia, PT",2007,
"Kontraktor","Mahakam Sumber Jaya, PT",2007,7734
"Kontraktor","Mandiri Intiperkasa, PT",2007,32896.59
"Kontraktor","Mantimin Coal Mining, PT",2007,
"Kontraktor","Marunda Graha Mineral, PT",2007,
"Kontraktor","Multi Harapan Utama, PT",2007,101136.62
"Kontraktor","Multi Tambangjaya Utama, PT",2007,
"Kontraktor","Nusantara Termal Coal, PT",2007,925312.89
"Kontraktor","Pendopo Energi Batubara (D/H Pt Barito Putra)",2007,
"Kontraktor","Perkasa Inakakerta, PT",2007,82413.98
"Kontraktor","Pesona Khatulistiwa Nusantara (D/H Astra Binabakti Intisari)",2007,
"Kontraktor","Riau Bara Harum, PT",2007,34720
"Kontraktor","Santan Batubara, PT",2007,
"Kontraktor","Senamas Energindo Mulia, PT",2007,8845.79
"Kontraktor","Singlurus Pratama, PT",2007,
"Kontraktor","Sumber Kurnia Buana, PT",2007,1485795.3
"Kontraktor","Tanito Harum, PT",2007,428858.26
"Kontraktor","Tanjung Alam Jaya, PT",2007,
"Kontraktor","Teguh Sinar Abadi, PT",2007,
"Kontraktor","Trubaindo Coal Mining, PT",2007,1321968.7
"Kontraktor","Wahana Baratama Mining, PT",2007,
"Kuasa Pertambangan Swasta","Prov. Bengkulu",2007,
"Kuasa Pertambangan Swasta","Prov. Jambi",2007,
"Kuasa Pertambangan Swasta","Prov. Kalimantan Selatan",2007,
"Kuasa Pertambangan Swasta","Prov. Kalimantan Tengah",2007,
"Kuasa Pertambangan Swasta","Prov. Kalimantan Timur",2007,
"Kuasa Pertambangan Swasta","Prov. Riau",2007,
"Kuasa Pertambangan Swasta","Prov. Sumatera Barat",2007,
"Kuasa Pertambangan Swasta","Prov. Sumatera Selatan",2007,
"BUMN","Bukit Asam",2008,7974842
"BUMN","Bukit Asam - Ombilin",2008,5386
"BUMN","Bukit Asam - Tanjung Enim - Antrasit",2008,
"Kontraktor","Adaro Indonesia, PT",2008,9318647.2
"Kontraktor","Allied Indo Coal, PT",2008,
"Kontraktor","Antang Gunung Meratus, PT",2008,533682.49
"Kontraktor","Arutmin Indonesia, PT",2008,1198955.7
"Kontraktor","Asmin Koalindo Tuhup, PT",2008,
"Kontraktor","Bahari Cakrawala Sebuku, PT",2008,
"Kontraktor","Bangun Banua Persada Kalimantan, PT",2008,199575.97
"Kontraktor","Baramarta, PD",2008,4270554.5
"Kontraktor","Baramulti Suksessarana, PT",2008,
"Kontraktor","Batualam Selaras, PT",2008,
"Kontraktor","Berau Coal, PT",2008,4908024.6
"Kontraktor","Borneo Indobara, PT",2008,232218.59
"Kontraktor","Firman Ketaun Perkasa, PT",2008,
"Kontraktor","Gunung Bayan Pratamacoal, PT",2008,2880284.9
"Kontraktor","Indominco Mandiri, PT",2008,624075
"Kontraktor","Insani Bara Perkasa, PT",2008,49219
"Kontraktor","Interex Sacra Raya, PT",2008,36214.44
"Kontraktor","Intitirta Primasakti, PT",2008,
"Kontraktor","Jorong Barutama Greston, PT",2008,616925.55
"Kontraktor","Kadya Caraka Mulia, PT",2008,236526.05
"Kontraktor","Kalimantan Energi Lestari, PT",2008,
"Kontraktor","Kaltim Prima Coal, PT",2008,3329181
"Kontraktor","Kartika Selabumi Mining, PT",2008,188298.65
"Kontraktor","Kendilo Coal Indonesia, PT",2008,
"Kontraktor","Kideco Jaya Agung, PT",2008,5582846.2
"Kontraktor","Lanna Harita Indonesia, PT",2008,
"Kontraktor","Mahakam Sumber Jaya, PT",2008,1291265
"Kontraktor","Mandiri Intiperkasa, PT",2008,24584.12
"Kontraktor","Mantimin Coal Mining, PT",2008,
"Kontraktor","Marunda Graha Mineral, PT",2008,
"Kontraktor","Multi Harapan Utama, PT",2008,183479
"Kontraktor","Multi Tambangjaya Utama, PT",2008,
"Kontraktor","Nusantara Termal Coal, PT",2008,906383.97
"Kontraktor","Pendopo Energi Batubara (D/H Pt Barito Putra)",2008,
"Kontraktor","Perkasa Inakakerta, PT",2008,8067.92
"Kontraktor","Pesona Khatulistiwa Nusantara (D/H Astra Binabakti Intisari)",2008,
"Kontraktor","Riau Bara Harum, PT",2008,
"Kontraktor","Santan Batubara, PT",2008,
"Kontraktor","Senamas Energindo Mulia, PT",2008,6100
"Kontraktor","Singlurus Pratama, PT",2008,
"Kontraktor","Sumber Kurnia Buana, PT",2008,1039673.9
"Kontraktor","Tanito Harum, PT",2008,781925
"Kontraktor","Tanjung Alam Jaya, PT",2008,1351644.4
"Kontraktor","Teguh Sinar Abadi, PT",2008,168310.16
"Kontraktor","Trubaindo Coal Mining, PT",2008,558428.39
"Kontraktor","Wahana Baratama Mining, PT",2008,
"Kuasa Pertambangan Swasta","Prov. Bengkulu",2008,
"Kuasa Pertambangan Swasta","Prov. Jambi",2008,
"Kuasa Pertambangan Swasta","Prov. Kalimantan Selatan",2008,
"Kuasa Pertambangan Swasta","Prov. Kalimantan Tengah",2008,
"Kuasa Pertambangan Swasta","Prov. Kalimantan Timur",2008,
"Kuasa Pertambangan Swasta","Prov. Riau",2008,
"Kuasa Pertambangan Swasta","Prov. Sumatera Barat",2008,
"Kuasa Pertambangan Swasta","Prov. Sumatera Selatan",2008,
"BUMN","Bukit Asam",2009,7638084
"BUMN","Bukit Asam - Ombilin",2009,2044
"BUMN","Bukit Asam - Tanjung Enim - Antrasit",2009,
"Kontraktor","Adaro Indonesia, PT",2009,9570127
"Kontraktor","Allied Indo Coal, PT",2009,
"Kontraktor","Antang Gunung Meratus, PT",2009,662287.68
"Kontraktor","Arutmin Indonesia, PT",2009,2267323.6
"Kontraktor","Asmin Koalindo Tuhup, PT",2009,
"Kontraktor","Bahari Cakrawala Sebuku, PT",2009,
"Kontraktor","Bangun Banua Persada Kalimantan, PT",2009,278411.94
"Kontraktor","Baramarta, PD",2009,3277417
"Kontraktor","Baramulti Suksessarana, PT",2009,
"Kontraktor","Batualam Selaras, PT",2009,
"Kontraktor","Berau Coal, PT",2009,4121855
"Kontraktor","Borneo Indobara, PT",2009,577763.45
"Kontraktor","Firman Ketaun Perkasa, PT",2009,
"Kontraktor","Gunung Bayan Pratamacoal, PT",2009,3038417.3
"Kontraktor","Indominco Mandiri, PT",2009,632724
"Kontraktor","Insani Bara Perkasa, PT",2009,69893.6
"Kontraktor","Interex Sacra Raya, PT",2009,97794.13
"Kontraktor","Intitirta Primasakti, PT",2009,
"Kontraktor","Jorong Barutama Greston, PT",2009,928092
"Kontraktor","Kadya Caraka Mulia, PT",2009,125105.77
"Kontraktor","Kalimantan Energi Lestari, PT",2009,
"Kontraktor","Kaltim Prima Coal, PT",2009,3419350
"Kontraktor","Kartika Selabumi Mining, PT",2009,85484.66
"Kontraktor","Kendilo Coal Indonesia, PT",2009,
"Kontraktor","Kideco Jaya Agung, PT",2009,5606289.1
"Kontraktor","Lanna Harita Indonesia, PT",2009,11120.51
"Kontraktor","Mahakam Sumber Jaya, PT",2009,689957
"Kontraktor","Mandiri Intiperkasa, PT",2009,
"Kontraktor","Mantimin Coal Mining, PT",2009,
"Kontraktor","Marunda Graha Mineral, PT",2009,
"Kontraktor","Multi Harapan Utama, PT",2009,
"Kontraktor","Multi Tambangjaya Utama, PT",2009,
