nama_perusahaan,komoditas,satuan,tahun,nilai
"Aneka Tambang Tbk, PT","Ni In Fe Ni","ton",2006,13389
"Aneka Tambang Tbk, PT","Gold","kg",2006,1458
"Aneka Tambang Tbk, PT","Silver","kg",2006,8098
"Aneka Tambang Tbk, PT","Bauxite","mt",2006,1536542
"Aneka Tambang Tbk, PT","Iron sand","wmt",2006,
"Timah Tbk, PT","Tin metal","ton",2006,40684
"Freeport Indonesia, PT","Copper","ton",2006,611532
"Freeport Indonesia, PT","Gold","kg",2006,58287
"Freeport Indonesia, PT","Silver","kg",2006,167687
"Koba Tin, PT","Tin metal","ton",2006,20738
"International Nickel Ind, PT","Ni+Co in matte","ton",2006,72879
"Gunung Kikara Mining, PT","Tin metal","ton",2006,
"Karimun Granite, PT","Granite","ton",2006,5160623
"Lusang Mining, PT","Gold","kg",2006,
"Lusang Mining, PT","Silver","kg",2006,
"Ampalit Mas Perdana, PT","Gold","kg",2006,
"Ampalit Mas Perdana, PT","Silver","kg",2006,
"Monterado Mas Mining, PT","Gold","kg",2006,
"Monterado Mas Mining, PT","Silver","kg",2006,
"Prima Lirang Mining, PT","Gold","kg",2006,
"Prima Lirang Mining, PT","Silver","kg",2006,
"Kelian Equatorial Mining, PT","Gold","kg",2006,
"Kelian Equatorial Mining, PT","Silver","kg",2006,
"Indo Muro Kencana, PT","Gold","kg",2006,1341
"Indo Muro Kencana, PT","Silver","kg",2006,8202
"Newmont Minahasa Raya, PT","Gold","kg",2006,
"Newmont Minahasa Raya, PT","Silver","kg",2006,
"Barisan Tropical Mining, PT","Gold","kg",2006,
"Barisan Tropical Mining, PT","Silver","kg",2006,
"Newmont Nusa Tenggara, PT","Copper","ton",2006,204649
"Newmont Nusa Tenggara, PT","Gold","kg",2006,13849
"Newmont Nusa Tenggara, PT","Silver","kg",2006,49955
"Nusa Halmahera Minerals, PT","Gold","kg",2006,8665
"Nusa Halmahera Minerals, PT","Silver","kg",2006,9863
"Avocet Bolaang Mongondouw, PT","Gold","kg",2006,1560
"Avocet Bolaang Mongondouw, PT","Silver","kg",2006,340
"Galuh Cempaka, PT","Diamond","crt",2006,47039
"Galuh Cempaka, PT","Gold","kg",2006,15
"Aneka Tambang Tbk, PT","Nickel ore","wmt",2007,6907459
"Aneka Tambang Tbk, PT","Ferro nickel","mt",2007,
"Aneka Tambang Tbk, PT","Ni In Fe Ni","ton",2007,17548
"Aneka Tambang Tbk, PT","Gold","kg",2007,5000
"Aneka Tambang Tbk, PT","Silver","kg",2007,26968
"Aneka Tambang Tbk, PT","Bauxite","mt",2007,964282
"Aneka Tambang Tbk, PT","Iron sand","wmt",2007,
"Timah Tbk, PT","Tin metal","ton",2007,57897
"Freeport Indonesia, PT","Copper","ton",2007,581899
"Freeport Indonesia, PT","Gold","kg",2007,83857
"Freeport Indonesia, PT","Silver","kg",2007,164709
"Koba Tin, PT","Tin metal","ton",2007,5782
"International Nickel Ind, PT","Ni+Co in matte","ton",2007,77838
"Gunung Kikara Mining, PT","Tin metal","ton",2007,
"Karimun Granite, PT","Granite","ton",2007,684948
"Lusang Mining, PT","Gold","kg",2007,
"Lusang Mining, PT","Silver","kg",2007,
"Ampalit Mas Perdana, PT","Gold","kg",2007,
"Ampalit Mas Perdana, PT","Silver","kg",2007,
"Monterado Mas Mining, PT","Gold","kg",2007,
"Monterado Mas Mining, PT","Silver","kg",2007,
"Prima Lirang Mining, PT","Gold","kg",2007,
"Prima Lirang Mining, PT","Silver","kg",2007,
"Kelian Equatorial Mining, PT","Gold","kg",2007,
"Kelian Equatorial Mining, PT","Silver","kg",2007,
"Indo Muro Kencana, PT","Gold","kg",2007,1314
"Indo Muro Kencana, PT","Silver","kg",2007,10322
"Newmont Minahasa Raya, PT","Gold","kg",2007,
"Newmont Minahasa Raya, PT","Silver","kg",2007,
"Barisan Tropical Mining, PT","Gold","kg",2007,
"Barisan Tropical Mining, PT","Silver","kg",2007,
"Newmont Nusa Tenggara, PT","Copper","ton",2007,203653
"Newmont Nusa Tenggara, PT","Gold","kg",2007,15704
"Newmont Nusa Tenggara, PT","Silver","kg",2007,52931
"Nusa Halmahera Minerals, PT","Gold","kg",2007,11557
"Nusa Halmahera Minerals, PT","Silver","kg",2007,12905
"Avocet Bolaang Mongondouw, PT","Gold","kg",2007,2205
"Avocet Bolaang Mongondouw, PT","Silver","kg",2007,215
"Galuh Cempaka, PT","Diamond","crt",2007,10411
"Galuh Cempaka, PT","Gold","kg",2007,
"Aneka Tambang Tbk, PT","Nickel ore","wmt",2008,5342924
"Aneka Tambang Tbk, PT","Ferro nickel","mt",2008,
"Aneka Tambang Tbk, PT","Ni In Fe Ni","ton",2008,17025
"Aneka Tambang Tbk, PT","Gold","kg",2008,9441
"Aneka Tambang Tbk, PT","Silver","kg",2008,34342
"Aneka Tambang Tbk, PT","Bauxite","mt",2008,893088
"Aneka Tambang Tbk, PT","Iron sand","wmt",2008,
"Timah Tbk, PT","Tin metal","ton",2008,45771
"Freeport Indonesia, PT","Copper","ton",2008,313099
"Freeport Indonesia, PT","Gold","kg",2008,22146
"Freeport Indonesia, PT","Silver","kg",2008,84446
"Koba Tin, PT","Tin metal","ton",2008,4427
"International Nickel Ind, PT","Ni+Co in matte","ton",2008,74030
"Gunung Kikara Mining, PT","Tin metal","ton",2008,
"Karimun Granite, PT","Granite","ton",2008,
"Lusang Mining, PT","Gold","kg",2008,
"Lusang Mining, PT","Silver","kg",2008,
"Ampalit Mas Perdana, PT","Gold","kg",2008,
"Ampalit Mas Perdana, PT","Silver","kg",2008,
"Monterado Mas Mining, PT","Gold","kg",2008,
"Monterado Mas Mining, PT","Silver","kg",2008,
"Prima Lirang Mining, PT","Gold","kg",2008,
"Prima Lirang Mining, PT","Silver","kg",2008,
"Kelian Equatorial Mining, PT","Gold","kg",2008,
"Kelian Equatorial Mining, PT","Silver","kg",2008,
"Indo Muro Kencana, PT","Gold","kg",2008,1590
"Indo Muro Kencana, PT","Silver","kg",2008,7936
"Newmont Minahasa Raya, PT","Gold","kg",2008,
"Newmont Minahasa Raya, PT","Silver","kg",2008,
"Barisan Tropical Mining, PT","Gold","kg",2008,
"Barisan Tropical Mining, PT","Silver","kg",2008,
"Newmont Nusa Tenggara, PT","Copper","ton",2008,137562
"Newmont Nusa Tenggara, PT","Gold","kg",2008,9522
"Newmont Nusa Tenggara, PT","Silver","kg",2008,31246
"Nusa Halmahera Minerals, PT","Gold","kg",2008,13331
"Nusa Halmahera Minerals, PT","Silver","kg",2008,14323
"Avocet Bolaang Mongondouw, PT","Gold","kg",2008,1445
"Avocet Bolaang Mongondouw, PT","Silver","kg",2008,190
"Galuh Cempaka, PT","Diamond","crt",2008,32748
"Galuh Cempaka, PT","Gold","kg",2008,
"Aneka Tambang Tbk, PT","Nickel ore","wmt",2009,4901699
"Aneka Tambang Tbk, PT","Ferro nickel","mt",2009,
